waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.012625	6.158784E-1
01-01-1904  00:00:00.012650	6.044040E-1
01-01-1904  00:00:00.012675	6.082288E-1
01-01-1904  00:00:00.012700	6.031290E-1
01-01-1904  00:00:00.012725	6.158784E-1
01-01-1904  00:00:00.012750	5.980293E-1
01-01-1904  00:00:00.012775	6.133286E-1
01-01-1904  00:00:00.012800	6.018541E-1
01-01-1904  00:00:00.012825	6.069539E-1
01-01-1904  00:00:00.012850	6.031290E-1
01-01-1904  00:00:00.012875	6.082288E-1
01-01-1904  00:00:00.012900	6.133286E-1
01-01-1904  00:00:00.012925	6.031290E-1
01-01-1904  00:00:00.012950	6.069539E-1
01-01-1904  00:00:00.012975	6.056789E-1
01-01-1904  00:00:00.013000	6.095037E-1
01-01-1904  00:00:00.013025	6.082288E-1
01-01-1904  00:00:00.013050	6.133286E-1
01-01-1904  00:00:00.013075	6.031290E-1
01-01-1904  00:00:00.013100	6.056789E-1
01-01-1904  00:00:00.013125	6.056789E-1
01-01-1904  00:00:00.013150	6.095037E-1
01-01-1904  00:00:00.013175	6.044040E-1
01-01-1904  00:00:00.013200	6.107787E-1
01-01-1904  00:00:00.013225	6.031290E-1
01-01-1904  00:00:00.013250	6.044040E-1
01-01-1904  00:00:00.013275	6.107787E-1
01-01-1904  00:00:00.013300	6.107787E-1
01-01-1904  00:00:00.013325	6.146035E-1
01-01-1904  00:00:00.013350	6.005792E-1
01-01-1904  00:00:00.013375	6.069539E-1
01-01-1904  00:00:00.013400	6.056789E-1
01-01-1904  00:00:00.013425	6.133286E-1
01-01-1904  00:00:00.013450	6.069539E-1
01-01-1904  00:00:00.013475	6.107787E-1
01-01-1904  00:00:00.013500	6.031290E-1
01-01-1904  00:00:00.013525	6.107787E-1
01-01-1904  00:00:00.013550	6.120536E-1
01-01-1904  00:00:00.013575	6.044040E-1
01-01-1904  00:00:00.013600	6.146035E-1
01-01-1904  00:00:00.013625	6.005792E-1
01-01-1904  00:00:00.013650	6.095037E-1
01-01-1904  00:00:00.013675	6.056789E-1
01-01-1904  00:00:00.013700	6.107787E-1
01-01-1904  00:00:00.013725	6.056789E-1
01-01-1904  00:00:00.013750	6.171534E-1
01-01-1904  00:00:00.013775	5.954794E-1
01-01-1904  00:00:00.013800	6.133286E-1
01-01-1904  00:00:00.013825	6.056789E-1
01-01-1904  00:00:00.013850	6.158784E-1
01-01-1904  00:00:00.013875	6.056789E-1
01-01-1904  00:00:00.013900	6.107787E-1
01-01-1904  00:00:00.013925	6.056789E-1
01-01-1904  00:00:00.013950	6.133286E-1
01-01-1904  00:00:00.013975	6.018541E-1
01-01-1904  00:00:00.014000	6.158784E-1
01-01-1904  00:00:00.014025	6.044040E-1
01-01-1904  00:00:00.014050	6.056789E-1
01-01-1904  00:00:00.014075	6.044040E-1
01-01-1904  00:00:00.014100	6.107787E-1
01-01-1904  00:00:00.014125	6.120536E-1
01-01-1904  00:00:00.014150	6.056789E-1
01-01-1904  00:00:00.014175	6.056789E-1
01-01-1904  00:00:00.014200	6.069539E-1
01-01-1904  00:00:00.014225	6.082288E-1
01-01-1904  00:00:00.014250	6.107787E-1
01-01-1904  00:00:00.014275	6.133286E-1
01-01-1904  00:00:00.014300	6.031290E-1
01-01-1904  00:00:00.014325	6.082288E-1
01-01-1904  00:00:00.014350	6.056789E-1
