depth[mm]	HF [V]	NF [V]	TGC [dB]
79,9	0,005	0,005	0,000
80,0	0,005	0,001	0,000
80,1	0,004	-0,002	0,000
80,3	0,002	-0,002	0,000
80,4	0,002	-0,001	0,000
80,5	0,001	-0,001	0,000
80,7	0,001	-0,001	0,000
80,8	0,002	-0,002	0,000
80,9	0,002	-0,001	0,000
81,1	0,001	-0,001	0,000
81,2	0,001	-0,001	0,000
81,4	0,001	-0,002	0,000
81,5	0,001	-0,001	0,000
81,6	0,001	-0,001	0,000
81,8	0,001	-0,001	0,000
81,9	0,001	-0,001	0,000
82,0	0,001	-0,001	0,000
82,2	0,002	-0,001	0,000
82,3	0,002	-0,002	0,000
82,4	0,003	-0,001	0,000
82,6	0,003	0,000	0,000
82,7	0,004	0,003	0,000
82,9	0,004	0,004	0,000
83,0	0,004	0,003	0,000
83,1	0,003	0,000	0,000
83,3	0,003	-0,001	0,000
83,4	0,002	-0,002	0,000
83,5	0,002	-0,001	0,000
83,7	0,001	-0,001	0,000
83,8	0,001	-0,001	0,000
83,9	0,001	-0,002	0,000
84,1	0,002	-0,001	0,000
84,2	0,001	-0,001	0,000
84,4	0,001	-0,001	0,000
84,5	0,001	-0,002	0,000
84,6	0,001	-0,001	0,000
84,8	0,002	-0,001	0,000
84,9	0,002	-0,001	0,000
85,0	0,002	-0,002	0,000
85,2	0,002	-0,001	0,000
85,3	0,002	-0,001	0,000
85,4	0,002	-0,001	0,000
85,6	0,003	-0,002	0,000
85,7	0,003	-0,002	0,000
85,9	0,004	0,000	0,000
86,0	0,004	0,003	0,000
86,1	0,004	0,004	0,000
86,3	0,003	0,002	0,000
86,4	0,003	0,000	0,000
86,5	0,002	-0,001	0,000
86,7	0,001	-0,002	0,000
86,8	0,001	-0,001	0,000
87,0	0,002	-0,002	0,000
87,1	0,003	-0,002	0,000
87,2	0,004	0,000	0,000
87,4	0,004	0,003	0,000
87,5	0,003	0,003	0,000
87,6	0,002	0,002	0,000
87,8	0,001	0,001	0,000
87,9	0,001	0,001	0,000
88,0	0,002	0,002	0,000
88,2	0,003	0,001	0,000
88,3	0,003	-0,001	0,000
88,5	0,003	-0,002	0,000
88,6	0,002	-0,002	0,000
88,7	0,001	-0,001	0,000
88,9	0,001	-0,001	0,000
89,0	0,002	-0,002	0,000
89,1	0,002	-0,003	0,000
89,3	0,003	-0,001	0,000
89,4	0,003	0,001	0,000
89,5	0,003	0,002	0,000
89,7	0,003	0,001	0,000
89,8	0,002	-0,001	0,000
90,0	0,002	-0,002	0,000
90,1	0,002	-0,001	0,000
90,2	0,001	-0,001	0,000
90,4	0,002	-0,002	0,000
90,5	0,002	-0,002	0,000
90,6	0,003	-0,001	0,000
90,8	0,003	0,001	0,000
90,9	0,002	0,002	0,000
91,0	0,002	0,001	0,000
91,2	0,002	-0,001	0,000
91,3	0,002	-0,002	0,000
91,5	0,002	-0,002	0,000
91,6	0,002	-0,002	0,000
91,7	0,002	-0,001	0,000
91,9	0,002	0,001	0,000
92,0	0,002	0,002	0,000
92,1	0,002	0,001	0,000
92,3	0,002	-0,001	0,000
92,4	0,002	-0,002	0,000
92,5	0,002	-0,002	0,000
92,7	0,001	-0,001	0,000
92,8	0,001	-0,001	0,000
93,0	0,001	-0,001	0,000
93,1	0,002	-0,002	0,000
93,2	0,002	-0,002	0,000
93,4	0,002	-0,001	0,000
93,5	0,002	-0,001	0,000
93,6	0,002	-0,002	0,000
93,8	0,003	-0,002	0,000
93,9	0,003	-0,001	0,000
94,0	0,003	0,001	0,000
94,2	0,003	0,002	0,000
94,3	0,002	0,001	0,000
94,5	0,002	-0,001	0,000
94,6	0,002	-0,002	0,000
94,7	0,002	-0,001	0,000
94,9	0,002	-0,001	0,000
95,0	0,002	-0,002	0,000
95,1	0,003	-0,002	0,000
95,3	0,003	-0,001	0,000
95,4	0,004	0,000	0,000
95,6	0,004	0,002	0,000
95,7	0,005	0,003	0,000
95,8	0,006	0,005	0,000
96,0	0,006	0,006	0,000
96,1	0,006	0,005	0,000
96,2	0,006	0,001	0,000
96,4	0,004	-0,002	0,000
96,5	0,003	-0,002	0,000
96,6	0,002	-0,001	0,000
96,8	0,002	-0,001	0,000
96,9	0,002	-0,001	0,000
97,1	0,002	-0,002	0,000
97,2	0,002	-0,002	0,000
97,3	0,002	-0,001	0,000
97,5	0,001	-0,001	0,000
97,6	0,001	-0,002	0,000
97,7	0,001	-0,002	0,000
97,9	0,001	-0,002	0,000
98,0	0,002	-0,001	0,000
98,1	0,002	-0,001	0,000
98,3	0,002	-0,002	0,000
98,4	0,002	-0,002	0,000
98,6	0,002	-0,001	0,000
98,7	0,002	-0,001	0,000
98,8	0,002	-0,001	0,000
99,0	0,003	-0,003	0,000
99,1	0,004	-0,002	0,000
99,2	0,005	0,001	0,000
99,4	0,005	0,005	0,000
99,5	0,005	0,005	0,000
99,6	0,004	0,001	0,000
99,8	0,003	-0,002	0,000
99,9	0,002	-0,003	0,000
100,1	0,002	-0,001	0,000
100,2	0,001	-0,001	0,000
100,3	0,001	-0,001	0,000
100,5	0,002	-0,002	0,000
100,6	0,002	-0,002	0,000
100,7	0,002	-0,001	0,000
100,9	0,002	-0,001	0,000
